ESTAR: Stopping Powers and Range Tables for Electrons

POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)

Kinetic   Collision Radiative Total     D. Effect
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Parameter
MeV       MeV cm2/g MeV cm2/g MeV cm2/g

1.738E+00 1.759E+00 1.993E-02 1.779E+00 8.271E-01
1.744E+00 1.759E+00 2.001E-02 1.779E+00 8.305E-01
1.750E+00 1.759E+00 2.009E-02 1.779E+00 8.339E-01
1.756E+00 1.759E+00 2.017E-02 1.779E+00 8.372E-01
1.762E+00 1.759E+00 2.024E-02 1.779E+00 8.406E-01
1.768E+00 1.759E+00 2.032E-02 1.779E+00 8.439E-01
1.774E+00 1.759E+00 2.040E-02 1.779E+00 8.473E-01
1.780E+00 1.759E+00 2.048E-02 1.780E+00 8.506E-01
1.786E+00 1.759E+00 2.055E-02 1.780E+00 8.539E-01
1.792E+00 1.759E+00 2.063E-02 1.780E+00 8.572E-01
1.798E+00 1.759E+00 2.071E-02 1.780E+00 8.606E-01
1.804E+00 1.759E+00 2.079E-02 1.780E+00 8.639E-01
1.810E+00 1.759E+00 2.087E-02 1.780E+00 8.672E-01
1.816E+00 1.759E+00 2.095E-02 1.780E+00 8.705E-01
1.822E+00 1.759E+00 2.102E-02 1.780E+00 8.738E-01
1.828E+00 1.759E+00 2.110E-02 1.781E+00 8.770E-01
1.834E+00 1.760E+00 2.118E-02 1.781E+00 8.803E-01
1.840E+00 1.760E+00 2.126E-02 1.781E+00 8.836E-01
1.846E+00 1.760E+00 2.134E-02 1.781E+00 8.869E-01
1.852E+00 1.760E+00 2.142E-02 1.781E+00 8.901E-01
1.858E+00 1.760E+00 2.150E-02 1.781E+00 8.934E-01
1.864E+00 1.760E+00 2.158E-02 1.781E+00 8.966E-01
1.870E+00 1.760E+00 2.165E-02 1.782E+00 8.999E-01
1.876E+00 1.760E+00 2.173E-02 1.782E+00 9.031E-01
1.882E+00 1.760E+00 2.181E-02 1.782E+00 9.064E-01
1.888E+00 1.760E+00 2.189E-02 1.782E+00 9.096E-01
1.894E+00 1.760E+00 2.197E-02 1.782E+00 9.128E-01
1.900E+00 1.760E+00 2.205E-02 1.782E+00 9.160E-01
1.906E+00 1.760E+00 2.213E-02 1.782E+00 9.193E-01
1.912E+00 1.760E+00 2.221E-02 1.783E+00 9.225E-01
1.918E+00 1.760E+00 2.229E-02 1.783E+00 9.257E-01
1.924E+00 1.761E+00 2.237E-02 1.783E+00 9.289E-01
1.930E+00 1.761E+00 2.245E-02 1.783E+00 9.320E-01
1.936E+00 1.761E+00 2.253E-02 1.783E+00 9.352E-01
1.942E+00 1.761E+00 2.261E-02 1.783E+00 9.384E-01
1.948E+00 1.761E+00 2.269E-02 1.784E+00 9.416E-01
1.954E+00 1.761E+00 2.277E-02 1.784E+00 9.448E-01
1.960E+00 1.761E+00 2.285E-02 1.784E+00 9.479E-01
1.966E+00 1.761E+00 2.293E-02 1.784E+00 9.511E-01
1.972E+00 1.761E+00 2.301E-02 1.784E+00 9.542E-01
1.978E+00 1.761E+00 2.309E-02 1.784E+00 9.574E-01
1.984E+00 1.761E+00 2.317E-02 1.785E+00 9.605E-01
1.990E+00 1.761E+00 2.325E-02 1.785E+00 9.637E-01
1.996E+00 1.762E+00 2.333E-02 1.785E+00 9.668E-01
2.002E+00 1.762E+00 2.341E-02 1.785E+00 9.699E-01
2.008E+00 1.762E+00 2.349E-02 1.785E+00 9.730E-01
2.014E+00 1.762E+00 2.357E-02 1.785E+00 9.761E-01
2.020E+00 1.762E+00 2.365E-02 1.786E+00 9.793E-01
2.026E+00 1.762E+00 2.373E-02 1.786E+00 9.824E-01
2.032E+00 1.762E+00 2.381E-02 1.786E+00 9.855E-01
2.038E+00 1.762E+00 2.389E-02 1.786E+00 9.885E-01
2.044E+00 1.762E+00 2.398E-02 1.786E+00 9.916E-01
2.050E+00 1.762E+00 2.406E-02 1.787E+00 9.947E-01
2.056E+00 1.763E+00 2.414E-02 1.787E+00 9.978E-01
2.062E+00 1.763E+00 2.422E-02 1.787E+00 1.001E+00
2.068E+00 1.763E+00 2.430E-02 1.787E+00 1.004E+00
2.074E+00 1.763E+00 2.438E-02 1.787E+00 1.007E+00
2.080E+00 1.763E+00 2.446E-02 1.787E+00 1.010E+00
2.086E+00 1.763E+00 2.454E-02 1.788E+00 1.013E+00
2.092E+00 1.763E+00 2.463E-02 1.788E+00 1.016E+00
2.098E+00 1.763E+00 2.471E-02 1.788E+00 1.019E+00
2.105E+00 1.763E+00 2.480E-02 1.788E+00 1.023E+00
2.111E+00 1.764E+00 2.488E-02 1.788E+00 1.026E+00
2.117E+00 1.764E+00 2.497E-02 1.789E+00 1.029E+00
2.123E+00 1.764E+00 2.505E-02 1.789E+00 1.032E+00
2.129E+00 1.764E+00 2.513E-02 1.789E+00 1.035E+00
2.135E+00 1.764E+00 2.521E-02 1.789E+00 1.038E+00
2.141E+00 1.764E+00 2.529E-02 1.789E+00 1.041E+00
2.147E+00 1.764E+00 2.538E-02 1.790E+00 1.044E+00
2.153E+00 1.764E+00 2.546E-02 1.790E+00 1.047E+00
2.159E+00 1.764E+00 2.554E-02 1.790E+00 1.050E+00
2.165E+00 1.765E+00 2.562E-02 1.790E+00 1.053E+00
2.171E+00 1.765E+00 2.571E-02 1.790E+00 1.056E+00
2.177E+00 1.765E+00 2.579E-02 1.791E+00 1.059E+00
2.183E+00 1.765E+00 2.587E-02 1.791E+00 1.062E+00
2.189E+00 1.765E+00 2.595E-02 1.791E+00 1.065E+00
2.195E+00 1.765E+00 2.604E-02 1.791E+00 1.068E+00
2.201E+00 1.765E+00 2.612E-02 1.791E+00 1.071E+00
2.207E+00 1.765E+00 2.620E-02 1.792E+00 1.074E+00
2.213E+00 1.766E+00 2.628E-02 1.792E+00 1.076E+00
2.219E+00 1.766E+00 2.637E-02 1.792E+00 1.079E+00
2.225E+00 1.766E+00 2.645E-02 1.792E+00 1.082E+00
2.231E+00 1.766E+00 2.653E-02 1.792E+00 1.085E+00
2.237E+00 1.766E+00 2.662E-02 1.793E+00 1.088E+00
2.243E+00 1.766E+00 2.670E-02 1.793E+00 1.091E+00
2.249E+00 1.766E+00 2.678E-02 1.793E+00 1.094E+00
2.255E+00 1.766E+00 2.687E-02 1.793E+00 1.097E+00
2.261E+00 1.767E+00 2.695E-02 1.793E+00 1.100E+00
2.267E+00 1.767E+00 2.703E-02 1.794E+00 1.103E+00
2.273E+00 1.767E+00 2.712E-02 1.794E+00 1.106E+00
2.279E+00 1.767E+00 2.720E-02 1.794E+00 1.109E+00
