# distance (m), g, g_p, g_m, y (m^2), y_p (m^2), y_m (m^2)
2.725450901803607162e-01,1.063446851090509357e-04,1.061132494504893499e-04,1.065771325081963842e-04,7.899371069903357356e-06,7.882179837977561698e-06,7.916637454755603640e-06
2.745490981963927823e-01,1.047900918709569187e-04,1.045620394403346171e-04,1.050191412520956239e-04,7.898784480086386460e-06,7.881594524743435837e-06,7.916049582775100971e-06
2.765531062124248485e-01,1.032691214771942875e-04,1.030443791018358860e-04,1.034948463328821353e-04,7.898189763943470467e-06,7.881001102868513268e-06,7.915453566706187648e-06
2.785571142284569146e-01,1.017808116691076896e-04,1.015593082704806970e-04,1.020032833886029951e-04,7.897587006714148802e-06,7.880399657406828121e-06,7.914849491974724935e-06
2.805611222444889807e-01,1.003242343549718812e-04,1.001059008743299458e-04,1.005435222989171587e-04,7.896976290687382608e-06,7.879790270468260135e-06,7.914237441049539723e-06
2.825651302605209914e-01,9.889849416498425628e-05,9.868326349215514109e-05,9.911466573692957304e-05,7.896357695326730960e-06,7.879173021343431366e-06,7.913617493567881974e-06
2.845691382765530575e-01,9.750272707703164070e-05,9.729053398219590209e-05,9.771584779195410710e-05,7.895731297389428462e-06,7.878547986622533048e-06,7.912989726454761492e-06
2.865731462925851236e-01,9.613609910929899014e-05,9.592688017761392873e-05,9.634623265926467244e-05,7.895097171039692835e-06,7.877915240308379081e-06,7.912354214036501166e-06
2.885771543086171897e-01,9.479780507603136053e-05,9.459149864496273967e-05,9.500501339313741826e-05,7.894455387956616591e-06,7.877274853924067308e-06,7.911711028148869191e-06
2.905811623246492559e-01,9.348706740298504331e-05,9.328361350221685061e-05,9.369141071971285966e-05,7.893806017436715616e-06,7.876626896615309561e-06,7.911060238239854661e-06
2.925851703406813220e-01,9.220313499932360755e-05,9.200247529312269410e-05,9.240467190642594252e-05,7.893149126491786887e-06,7.875971435248062380e-06,7.910401911467723491e-06
2.945891783567133881e-01,9.094528218290240157e-05,9.074735991482209762e-05,9.114406968494152632e-05,7.892484779941999086e-06,7.875308534501429579e-06,7.909736112794330952e-06
2.965931863727454543e-01,8.971280765607671324e-05,8.951756759588941445e-05,8.990890122472387021e-05,7.891813040504671819e-06,7.874638256956243264e-06,7.909062905074080462e-06
2.985971943887775204e-01,8.850503352933757105e-05,8.831242192209200865e-05,8.869848715453829049e-05,7.891133968878931475e-06,7.873960663179521482e-06,7.908382349138774262e-06
3.006012024048095865e-01,8.732130439023914230e-05,8.713126890734417614e-05,8.751217062934348425e-05,7.890447623826330129e-06,7.873275811804946521e-06,7.907694503878410198e-06
3.026052104208416527e-01,8.616098641523557353e-05,8.597347610747664332e-05,8.634931644018688896e-05,7.889754062247886576e-06,7.872583759609697572e-06,7.906999426318371831e-06
3.046092184368737188e-01,8.502346652218084697e-05,8.483843177458090892e-05,8.520931016485227443e-05,7.889053339257537641e-06,7.871884561587773286e-06,7.906297171693071175e-06
3.066132264529057849e-01,8.390815156137892256e-05,8.372554404981988633e-05,8.409155735714149676e-05,7.888345508252252178e-06,7.871178271019929599e-06,7.905587793516189753e-06
3.086172344689378511e-01,8.281446754319325839e-05,8.263424019271839829e-05,8.299548277279584834e-05,7.887630620978916177e-06,7.870464939540441164e-06,7.904871343647721255e-06
3.106212424849699172e-01,8.174185890034258795e-05,8.156396584506438641e-05,8.192052963017940959e-05,7.886908727598404036e-06,7.869744617201021854e-06,7.904147872358183410e-06
3.126252505010019833e-01,8.068978778311039187e-05,8.051418432765205472e-05,8.086615890394778809e-05,7.886179876746575091e-06,7.869017352531677300e-06,7.903417428389738190e-06
3.146292585170340494e-01,7.965773338580434246e-05,7.948437596820739947e-05,7.983184865003559606e-05,7.885444115592671460e-06,7.868283192599001083e-06,7.902680059014731951e-06
3.166332665330661156e-01,7.864519130289166274e-05,7.847403745892454709e-05,7.881709336038431166e-05,7.884701489895169701e-06,7.867542183061884098e-06,7.901935810091660595e-06
3.186372745490981817e-01,7.765167291332494815e-05,7.748268124213164977e-05,7.782140334592237542e-05,7.883952044055115085e-06,7.866794368224745487e-06,7.901184726118622430e-06
3.206412825651302478e-01,7.667670479165836640e-05,7.650983492268850392e-05,7.684430414639422530e-05,7.883195821167199383e-06,7.866039791088491837e-06,7.900426850284504371e-06
3.226452905811623140e-01,7.571982814462978773e-05,7.555504070579491303e-05,7.588533596571093586e-05,7.882432863068616026e-06,7.865278493399262231e-06,7.899662224517945525e-06
3.246492985971943801e-01,7.478059827195751358e-05,7.461785485896087547e-05,7.494405313156835143e-05,7.881663210385712989e-06,7.864510515694993041e-06,7.898890889534096804e-06
3.266533066132264462e-01,7.385858405017299458e-05,7.369784719696261725e-05,7.402002357815151560e-05,7.880886902578890620e-06,7.863735897350210719e-06,7.898112884879608531e-06
